   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      1,	      1,	      2,	        0,	 1.000000,	 1.000000,	 2.000000,	 0.000000
     2,	      0,	      1,	      0,	        0,	 0.000000,	 0.500000,	 0.000000,	 0.000000
     4,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
     8,	      1,	      0,	      0,	        1,	 0.125000,	 0.000000,	 0.000000,	 0.125000
    16,	      0,	      0,	      1,	        0,	 0.000000,	 0.000000,	 0.062500,	 0.000000
    32,	      0,	      1,	      0,	        1,	 0.000000,	 0.031250,	 0.000000,	 0.031250
    64,	      0,	      2,	      1,	        1,	 0.000000,	 0.031250,	 0.015625,	 0.015625
   128,	      1,	      1,	      2,	        5,	 0.007812,	 0.007812,	 0.015625,	 0.039062
   256,	      2,	      3,	      3,	       18,	 0.007812,	 0.011719,	 0.011719,	 0.070312
   512,	      4,	      2,	      4,	       66,	 0.007812,	 0.003906,	 0.007812,	 0.128906
  1024,	      6,	      5,	     10,	      269,	 0.005859,	 0.004883,	 0.009766,	 0.262695
  2048,	     16,	      9,	     21,	     1042,	 0.007812,	 0.004395,	 0.010254,	 0.508789
  4096,	     24,	     15,	     44,	     4036,	 0.005859,	 0.003662,	 0.010742,	 0.985352
  8192,	     49,	     34,	     87,	    14603,	 0.005981,	 0.004150,	 0.010620,	 1.782593
 16384,	     84,	     58,	    150,	    53150,	 0.005127,	 0.003540,	 0.009155,	 3.244019
 32768,	    140,	     90,	    246,	   206502,	 0.004272,	 0.002747,	 0.007507,	 6.301941
 65536,	    332,	    201,	    512,	   848712,	 0.005066,	 0.003067,	 0.007812,	 12.950317
131072,	    637,	    400,	    996,	  3440905,	 0.004860,	 0.003052,	 0.007599,	 26.252022
262144,	   1281,	    779,	   1995,	 13966944,	 0.004887,	 0.002972,	 0.007610,	 53.279663
524288,	   2532,	   1646,	   4403,	 56695666,	 0.004829,	 0.003139,	 0.008398,	 108.138401
