   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      2,	      0,	      2,	        0,	 2.000000,	 0.000000,	 2.000000,	 0.000000
     2,	      0,	      1,	      1,	        0,	 0.000000,	 0.500000,	 0.500000,	 0.000000
     4,	      0,	      1,	      0,	        0,	 0.000000,	 0.250000,	 0.000000,	 0.000000
     8,	      0,	      1,	      1,	        0,	 0.000000,	 0.125000,	 0.125000,	 0.000000
    16,	      1,	      1,	      1,	        0,	 0.062500,	 0.062500,	 0.062500,	 0.000000
    32,	      0,	      1,	      0,	        1,	 0.000000,	 0.031250,	 0.000000,	 0.031250
    64,	      1,	      1,	      0,	        1,	 0.015625,	 0.015625,	 0.000000,	 0.015625
   128,	      2,	      4,	      1,	        4,	 0.015625,	 0.031250,	 0.007812,	 0.031250
   256,	      1,	      3,	      3,	       14,	 0.003906,	 0.011719,	 0.011719,	 0.054688
   512,	      2,	      2,	      4,	       51,	 0.003906,	 0.003906,	 0.007812,	 0.099609
  1024,	      5,	      3,	      7,	      213,	 0.004883,	 0.002930,	 0.006836,	 0.208008
  2048,	     11,	      5,	     17,	      816,	 0.005371,	 0.002441,	 0.008301,	 0.398438
  4096,	     18,	     13,	     34,	     3212,	 0.004395,	 0.003174,	 0.008301,	 0.784180
  8192,	     40,	     27,	     63,	    12172,	 0.004883,	 0.003296,	 0.007690,	 1.485840
 16384,	     72,	     58,	    140,	    57764,	 0.004395,	 0.003540,	 0.008545,	 3.525635
 32768,	    141,	     96,	    254,	   225405,	 0.004303,	 0.002930,	 0.007751,	 6.878815
 65536,	    309,	    213,	    498,	   880527,	 0.004715,	 0.003250,	 0.007599,	 13.435776
131072,	    594,	    397,	   1020,	  3514683,	 0.004532,	 0.003029,	 0.007782,	 26.814903
262144,	   1234,	    793,	   2081,	 14307468,	 0.004707,	 0.003025,	 0.007938,	 54.578659
524288,	   2538,	   1815,	   4256,	 58536348,	 0.004841,	 0.003462,	 0.008118,	 111.649223
