   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      1,	      1,	      1,	        0,	 1.000000,	 1.000000,	 1.000000,	 0.000000
     2,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.500000
     4,	      1,	      0,	      0,	        1,	 0.250000,	 0.000000,	 0.000000,	 0.250000
     8,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
    16,	      0,	      1,	      0,	        1,	 0.000000,	 0.062500,	 0.000000,	 0.062500
    32,	      1,	      0,	      2,	        0,	 0.031250,	 0.000000,	 0.062500,	 0.000000
    64,	      0,	      2,	      0,	        0,	 0.000000,	 0.031250,	 0.000000,	 0.000000
   128,	      1,	      1,	      1,	        3,	 0.007812,	 0.007812,	 0.007812,	 0.023438
   256,	      2,	      4,	      3,	        8,	 0.007812,	 0.015625,	 0.011719,	 0.031250
   512,	      6,	      2,	      5,	       29,	 0.011719,	 0.003906,	 0.009766,	 0.056641
  1024,	      7,	      3,	     11,	      145,	 0.006836,	 0.002930,	 0.010742,	 0.141602
  2048,	     15,	      8,	     22,	     1143,	 0.007324,	 0.003906,	 0.010742,	 0.558105
  4096,	     29,	     15,	     46,	     4213,	 0.007080,	 0.003662,	 0.011230,	 1.028564
  8192,	     54,	     34,	     79,	    15539,	 0.006592,	 0.004150,	 0.009644,	 1.896851
 16384,	     99,	     59,	    136,	    60131,	 0.006042,	 0.003601,	 0.008301,	 3.670105
 32768,	    145,	     81,	    204,	   201514,	 0.004425,	 0.002472,	 0.006226,	 6.149719
 65536,	    306,	    175,	    419,	   787437,	 0.004669,	 0.002670,	 0.006393,	 12.015335
131072,	    573,	    355,	    866,	  3142912,	 0.004372,	 0.002708,	 0.006607,	 23.978516
262144,	   1215,	    705,	   1719,	 12583102,	 0.004635,	 0.002689,	 0.006557,	 48.000725
524288,	   2366,	   1455,	   3682,	 50059276,	 0.004513,	 0.002775,	 0.007023,	 95.480492
