   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      3,	      0,	      2,	        1,	 3.000000,	 0.000000,	 2.000000,	 1.000000
     2,	      0,	      1,	      1,	        0,	 0.000000,	 0.500000,	 0.500000,	 0.000000
     4,	      1,	      0,	      0,	        0,	 0.250000,	 0.000000,	 0.000000,	 0.000000
     8,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.125000
    16,	      0,	      0,	      2,	        0,	 0.000000,	 0.000000,	 0.125000,	 0.000000
    32,	      0,	      0,	      1,	        0,	 0.000000,	 0.000000,	 0.031250,	 0.000000
    64,	      0,	      2,	      1,	        1,	 0.000000,	 0.031250,	 0.015625,	 0.015625
   128,	      1,	      0,	      1,	        3,	 0.007812,	 0.000000,	 0.007812,	 0.023438
   256,	      1,	      2,	      2,	        9,	 0.003906,	 0.007812,	 0.007812,	 0.035156
   512,	      4,	      1,	      4,	       49,	 0.007812,	 0.001953,	 0.007812,	 0.095703
  1024,	      9,	      3,	      9,	       90,	 0.008789,	 0.002930,	 0.008789,	 0.087891
  2048,	     12,	      7,	     19,	      395,	 0.005859,	 0.003418,	 0.009277,	 0.192871
  4096,	     25,	     13,	     36,	     3046,	 0.006104,	 0.003174,	 0.008789,	 0.743652
  8192,	     49,	     27,	     68,	     9060,	 0.005981,	 0.003296,	 0.008301,	 1.105957
 16384,	     89,	     54,	    130,	    43754,	 0.005432,	 0.003296,	 0.007935,	 2.670532
 32768,	    149,	     89,	    214,	   183208,	 0.004547,	 0.002716,	 0.006531,	 5.591064
 65536,	    317,	    163,	    418,	   726137,	 0.004837,	 0.002487,	 0.006378,	 11.079971
131072,	    586,	    328,	    837,	  2899899,	 0.004471,	 0.002502,	 0.006386,	 22.124474
262144,	   1167,	    639,	   1671,	 11894725,	 0.004452,	 0.002438,	 0.006374,	 45.374775
524288,	   2402,	   1375,	   3566,	 48094546,	 0.004581,	 0.002623,	 0.006802,	 91.733067
