   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      0,	      1,	      0,	        0,	 0.000000,	 1.000000,	 0.000000,	 0.000000
     2,	      1,	      0,	      0,	        0,	 0.500000,	 0.000000,	 0.000000,	 0.000000
     3,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.333333
     4,	      1,	      0,	      0,	        0,	 0.250000,	 0.000000,	 0.000000,	 0.000000
     8,	      0,	      0,	      1,	        0,	 0.000000,	 0.000000,	 0.125000,	 0.000000
    16,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.062500
    32,	      0,	      1,	      0,	        1,	 0.000000,	 0.031250,	 0.000000,	 0.031250
    64,	      1,	      0,	      1,	        1,	 0.015625,	 0.000000,	 0.015625,	 0.015625
   128,	      2,	      0,	      0,	        3,	 0.015625,	 0.000000,	 0.000000,	 0.023438
   256,	      4,	      1,	      1,	       16,	 0.015625,	 0.003906,	 0.003906,	 0.062500
   512,	      9,	      3,	      2,	       71,	 0.017578,	 0.005859,	 0.003906,	 0.138672
  1024,	     15,	      5,	      5,	      308,	 0.014648,	 0.004883,	 0.004883,	 0.300781
  2048,	     35,	      9,	     10,	     1282,	 0.017090,	 0.004395,	 0.004883,	 0.625977
  4096,	     63,	     23,	     19,	     5296,	 0.015381,	 0.005615,	 0.004639,	 1.292969
  8192,	    136,	     45,	     39,	    21479,	 0.016602,	 0.005493,	 0.004761,	 2.621948
 16384,	    276,	    100,	     87,	    85420,	 0.016846,	 0.006104,	 0.005310,	 5.213623
 32768,	    546,	    206,	    260,	   313195,	 0.016663,	 0.006287,	 0.007935,	 9.557953
 65536,	   1105,	    534,	    513,	  1257758,	 0.016861,	 0.008148,	 0.007828,	 19.191864
131072,	   2017,	    922,	    960,	  5032199,	 0.015388,	 0.007034,	 0.007324,	 38.392632
262144,	   4113,	   1875,	   1830,	 20353199,	 0.015690,	 0.007153,	 0.006981,	 77.641293
524288,	   8198,	   4315,	   3976,	 90862866,	 0.015636,	 0.008230,	 0.007584,	 173.307163
