   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      0,	      1,	      0,	        0,	 0.000000,	 1.000000,	 0.000000,	 0.000000
     2,	      0,	      1,	      0,	        0,	 0.000000,	 0.500000,	 0.000000,	 0.000000
     3,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
     4,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
     8,	      0,	      1,	      0,	        0,	 0.000000,	 0.125000,	 0.000000,	 0.000000
    16,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.062500
    32,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.031250
    64,	      1,	      0,	      0,	        1,	 0.015625,	 0.000000,	 0.000000,	 0.015625
   128,	      1,	      1,	      0,	        4,	 0.007812,	 0.007812,	 0.000000,	 0.031250
   256,	      1,	      1,	      1,	       14,	 0.003906,	 0.003906,	 0.003906,	 0.054688
   512,	      2,	      3,	      1,	       67,	 0.003906,	 0.005859,	 0.001953,	 0.130859
  1024,	      3,	      5,	      4,	      287,	 0.002930,	 0.004883,	 0.003906,	 0.280273
  2048,	      6,	      9,	     13,	     1206,	 0.002930,	 0.004395,	 0.006348,	 0.588867
  4096,	     22,	     18,	     19,	     4953,	 0.005371,	 0.004395,	 0.004639,	 1.209229
  8192,	     32,	     49,	     54,	    20734,	 0.003906,	 0.005981,	 0.006592,	 2.531006
 16384,	     78,	     86,	     79,	    79867,	 0.004761,	 0.005249,	 0.004822,	 4.874695
 32768,	    167,	    135,	    167,	   311617,	 0.005096,	 0.004120,	 0.005096,	 9.509796
 65536,	    309,	    333,	    336,	  1251947,	 0.004715,	 0.005081,	 0.005127,	 19.103195
131072,	    492,	    656,	    664,	  4995311,	 0.003754,	 0.005005,	 0.005066,	 38.111198
262144,	   1037,	   1318,	   1308,	 19989033,	 0.003956,	 0.005028,	 0.004990,	 76.252110
524288,	   2071,	   2524,	   2550,	 80032279,	 0.003950,	 0.004814,	 0.004864,	 152.649458
