   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 1.000000
     2,	      0,	      0,	      1,	        0,	 0.000000,	 0.000000,	 0.500000,	 0.000000
     3,	      0,	      0,	      1,	        0,	 0.000000,	 0.000000,	 0.333333,	 0.000000
     4,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
     8,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
    16,	      0,	      0,	      0,	        0,	 0.000000,	 0.000000,	 0.000000,	 0.000000
    32,	      0,	      1,	      0,	        1,	 0.000000,	 0.031250,	 0.000000,	 0.031250
    64,	      1,	      0,	      1,	        1,	 0.015625,	 0.000000,	 0.015625,	 0.015625
   128,	      2,	      0,	      0,	        3,	 0.015625,	 0.000000,	 0.000000,	 0.023438
   256,	      5,	      1,	      1,	       15,	 0.019531,	 0.003906,	 0.003906,	 0.058594
   512,	      8,	      3,	      1,	       70,	 0.015625,	 0.005859,	 0.001953,	 0.136719
  1024,	     16,	      5,	      4,	      324,	 0.015625,	 0.004883,	 0.003906,	 0.316406
  2048,	     59,	     11,	     12,	     1289,	 0.028809,	 0.005371,	 0.005859,	 0.629395
  4096,	     64,	     24,	     19,	     5290,	 0.015625,	 0.005859,	 0.004639,	 1.291504
  8192,	    150,	     42,	     39,	    21432,	 0.018311,	 0.005127,	 0.004761,	 2.616211
 16384,	    276,	     88,	     83,	    85809,	 0.016846,	 0.005371,	 0.005066,	 5.237366
 32768,	    584,	    232,	    236,	   334795,	 0.017822,	 0.007080,	 0.007202,	 10.217133
 65536,	   1176,	    575,	    535,	  1349355,	 0.017944,	 0.008774,	 0.008163,	 20.589523
131072,	   2078,	    940,	    934,	  5028774,	 0.015854,	 0.007172,	 0.007126,	 38.366501
262144,	   4105,	   1792,	   1827,	 20231870,	 0.015659,	 0.006836,	 0.006969,	 77.178459
524288,	   8064,	   4233,	   3802,	 90622026,	 0.015381,	 0.008074,	 0.007252,	 172.847797
